Period,Accomodation type,Travel,Tourists
01-Nov-12,Group accomodations,Domestic,68000
01-Nov-12,Group accomodations,International,3000
01-Dec-12,Group accomodations,Domestic,48000
01-Dec-12,Group accomodations,International,3000
01-Jan-13,Group accomodations,Domestic,49000
01-Jan-13,Group accomodations,International,2000
01-Feb-13,Group accomodations,Domestic,45000
01-Feb-13,Group accomodations,International,1000
01-Mar-13,Group accomodations,Domestic,71000
01-Mar-13,Group accomodations,International,4000
01-Apr-13,Group accomodations,Domestic,130000
01-Apr-13,Group accomodations,International,5000
01-May-13,Group accomodations,Domestic,181000
01-May-13,Group accomodations,International,9000
01-Jun-13,Group accomodations,Domestic,197000
01-Jun-13,Group accomodations,International,6000
01-Jul-13,Group accomodations,Domestic,90000
01-Jul-13,Group accomodations,International,17000
01-Aug-13,Group accomodations,Domestic,115000
01-Aug-13,Group accomodations,International,15000
01-Sep-13,Group accomodations,Domestic,180000
01-Sep-13,Group accomodations,International,4000
01-Oct-13,Group accomodations,Domestic,115000
01-Oct-13,Group accomodations,International,6000
01-Nov-13,Group accomodations,Domestic,66000
01-Nov-13,Group accomodations,International,2000
01-Dec-13,Group accomodations,Domestic,48000
01-Dec-13,Group accomodations,International,1000
01-Jan-14,Group accomodations,Domestic,54000
01-Jan-14,Group accomodations,International,1000
01-Feb-14,Group accomodations,Domestic,47000
01-Feb-14,Group accomodations,International,1000
01-Mar-14,Group accomodations,Domestic,67000
01-Mar-14,Group accomodations,International,2000
01-Apr-14,Group accomodations,Domestic,110000
01-Apr-14,Group accomodations,International,6000
01-May-14,Group accomodations,Domestic,182000
01-May-14,Group accomodations,International,5000
01-Jun-14,Group accomodations,Domestic,209000
01-Jun-14,Group accomodations,International,8000
01-Jul-14,Group accomodations,Domestic,109000
01-Jul-14,Group accomodations,International,17000
01-Aug-14,Group accomodations,Domestic,118000
01-Aug-14,Group accomodations,International,18000
01-Sep-14,Group accomodations,Domestic,186000
01-Sep-14,Group accomodations,International,6000
01-Oct-14,Group accomodations,Domestic,119000
01-Oct-14,Group accomodations,International,5000
01-Nov-14,Group accomodations,Domestic,73000
01-Nov-14,Group accomodations,International,1000
01-Dec-14,Group accomodations,Domestic,45000
01-Dec-14,Group accomodations,International,1000
01-Jan-15,Group accomodations,Domestic,45000
01-Jan-15,Group accomodations,International,1000
01-Feb-15,Group accomodations,Domestic,44000
01-Feb-15,Group accomodations,International,1000
01-Mar-15,Group accomodations,Domestic,64000
01-Mar-15,Group accomodations,International,3000
01-Apr-15,Group accomodations,Domestic,112000
01-Apr-15,Group accomodations,International,5000
01-May-15,Group accomodations,Domestic,186000
01-May-15,Group accomodations,International,8000
01-Jun-15,Group accomodations,Domestic,210000
01-Jun-15,Group accomodations,International,6000
01-Jul-15,Group accomodations,Domestic,113000
01-Jul-15,Group accomodations,International,18000
01-Aug-15,Group accomodations,Domestic,130000
01-Aug-15,Group accomodations,International,17000
01-Sep-15,Group accomodations,Domestic,197000
01-Sep-15,Group accomodations,International,7000
01-Oct-15,Group accomodations,Domestic,129000
01-Oct-15,Group accomodations,International,7000
01-Nov-15,Group accomodations,Domestic,61000
01-Nov-15,Group accomodations,International,1000
01-Dec-15,Group accomodations,Domestic,46000
01-Dec-15,Group accomodations,International,2000
01-Jan-16,Group accomodations,Domestic,46000
01-Jan-16,Group accomodations,International,2000
01-Feb-16,Group accomodations,Domestic,37000
01-Feb-16,Group accomodations,International,2000
01-Mar-16,Group accomodations,Domestic,59000
01-Mar-16,Group accomodations,International,3000
01-Apr-16,Group accomodations,Domestic,106000
01-Apr-16,Group accomodations,International,4000
01-May-16,Group accomodations,Domestic,172000
01-May-16,Group accomodations,International,8000
01-Jun-16,Group accomodations,Domestic,183000
01-Jun-16,Group accomodations,International,7000
01-Jul-16,Group accomodations,Domestic,104000
01-Jul-16,Group accomodations,International,15000
01-Aug-16,Group accomodations,Domestic,107000
01-Aug-16,Group accomodations,International,14000
01-Sep-16,Group accomodations,Domestic,204000
01-Sep-16,Group accomodations,International,5000
01-Oct-16,Group accomodations,Domestic,138000
01-Oct-16,Group accomodations,International,7000
01-Nov-16,Group accomodations,Domestic,70000
01-Nov-16,Group accomodations,International,2000
01-Dec-16,Group accomodations,Domestic,40000
01-Dec-16,Group accomodations,International,3000
01-Jan-17,Group accomodations,Domestic,54000
01-Jan-17,Group accomodations,International,3000
01-Feb-17,Group accomodations,Domestic,49000
01-Feb-17,Group accomodations,International,3000
01-Mar-17,Group accomodations,Domestic,72000
01-Mar-17,Group accomodations,International,3000
01-Apr-17,Group accomodations,Domestic,123000
01-Apr-17,Group accomodations,International,7000
01-May-17,Group accomodations,Domestic,177000
01-May-17,Group accomodations,International,7000
01-Jun-17,Group accomodations,Domestic,209000
01-Jun-17,Group accomodations,International,8000
01-Jul-17,Group accomodations,Domestic,124000
01-Jul-17,Group accomodations,International,19000
01-Aug-17,Group accomodations,Domestic,113000
01-Aug-17,Group accomodations,International,17000
01-Sep-17,Group accomodations,Domestic,212000
01-Sep-17,Group accomodations,International,6000
01-Oct-17,Group accomodations,Domestic,130000
01-Oct-17,Group accomodations,International,5000
01-Nov-17,Group accomodations,Domestic,80000
01-Nov-17,Group accomodations,International,3000
01-Dec-17,Group accomodations,Domestic,65000
01-Dec-17,Group accomodations,International,4000
01-Jan-18,Group accomodations,Domestic,57000
01-Jan-18,Group accomodations,International,6000
01-Feb-18,Group accomodations,Domestic,47000
01-Feb-18,Group accomodations,International,5000
01-Mar-18,Group accomodations,Domestic,87000
01-Mar-18,Group accomodations,International,6000
01-Apr-18,Group accomodations,Domestic,136000
01-Apr-18,Group accomodations,International,17000
01-May-18,Group accomodations,Domestic,180000
01-May-18,Group accomodations,International,11000
01-Jun-18,Group accomodations,Domestic,214000
01-Jun-18,Group accomodations,International,11000
01-Jul-18,Group accomodations,Domestic,110000
01-Jul-18,Group accomodations,International,20000
01-Aug-18,Group accomodations,Domestic,117000
01-Aug-18,Group accomodations,International,20000
01-Sep-18,Group accomodations,Domestic,215000
01-Sep-18,Group accomodations,International,10000
01-Oct-18,Group accomodations,Domestic,142000
01-Oct-18,Group accomodations,International,10000
01-Nov-18,Group accomodations,Domestic,85000
01-Nov-18,Group accomodations,International,6000
01-Dec-18,Group accomodations,Domestic,57000
01-Dec-18,Group accomodations,International,4000
01-Jan-19,Group accomodations,Domestic,57000
01-Jan-19,Group accomodations,International,2000
01-Feb-19,Group accomodations,Domestic,55000
01-Feb-19,Group accomodations,International,3000
01-Mar-19,Group accomodations,Domestic,84000
01-Mar-19,Group accomodations,International,5000
01-Apr-19,Group accomodations,Domestic,114000
01-Apr-19,Group accomodations,International,13000
01-May-19,Group accomodations,Domestic,185000
01-May-19,Group accomodations,International,7000
01-Jun-19,Group accomodations,Domestic,226000
01-Jun-19,Group accomodations,International,13000
01-Jul-19,Group accomodations,Domestic,123000
01-Jul-19,Group accomodations,International,20000
01-Aug-19,Group accomodations,Domestic,129000
01-Aug-19,Group accomodations,International,21000
01-Sep-19,Group accomodations,Domestic,229000
01-Sep-19,Group accomodations,International,7000
01-Oct-19,Group accomodations,Domestic,150000
01-Oct-19,Group accomodations,International,10000
01-Nov-19,Group accomodations,Domestic,87000
01-Nov-19,Group accomodations,International,4000
01-Dec-19,Group accomodations,Domestic,59000
01-Dec-19,Group accomodations,International,4000
01-Jan-20,Group accomodations,Domestic,53000
01-Jan-20,Group accomodations,International,6000
01-Feb-20,Group accomodations,Domestic,56000
01-Feb-20,Group accomodations,International,4000
01-Mar-20,Group accomodations,Domestic,40000
01-Mar-20,Group accomodations,International,3000
01-Apr-20,Group accomodations,Domestic,10000
01-Apr-20,Group accomodations,International,0
01-May-20,Group accomodations,Domestic,14000
01-May-20,Group accomodations,International,0
01-Jun-20,Group accomodations,Domestic,31000
01-Jun-20,Group accomodations,International,2000
01-Jul-20,Group accomodations,Domestic,84000
01-Jul-20,Group accomodations,International,11000
01-Aug-20,Group accomodations,Domestic,95000
01-Aug-20,Group accomodations,International,9000
01-Sep-20,Group accomodations,Domestic,89000
01-Sep-20,Group accomodations,International,3000
01-Oct-20,Group accomodations,Domestic,40000
01-Oct-20,Group accomodations,International,1000
01-Nov-20,Group accomodations,Domestic,23000
01-Nov-20,Group accomodations,International,2000
01-Dec-20,Group accomodations,Domestic,28000
01-Dec-20,Group accomodations,International,1000
01-Jan-21,Group accomodations,Domestic,4000
01-Jan-21,Group accomodations,International,2000
01-Feb-21,Group accomodations,Domestic,5000
01-Feb-21,Group accomodations,International,2000
01-Mar-21,Group accomodations,Domestic,9000
01-Mar-21,Group accomodations,International,2000
01-Apr-21,Group accomodations,Domestic,26000
01-Apr-21,Group accomodations,International,2000
01-May-21,Group accomodations,Domestic,47000
01-May-21,Group accomodations,International,1000
01-Jun-21,Group accomodations,Domestic,106000
01-Jun-21,Group accomodations,International,2000
01-Jul-21,Group accomodations,Domestic,107000
01-Jul-21,Group accomodations,International,7000
01-Jan-21,Hotel,Domestic,5000
01-Feb-21,Hotel,International,200
01-Mar-21,Holiday Park,Domestic,9500
01-Apr-21,Camping,Domestic,12000
01-May-21,Hotel,International,150
01-Jun-21,Holiday Park,International,300
01-Jul-21,Camping,Domestic,18000
01-Aug-21,Hotel,Domestic,20000
01-Sep-21,Holiday Park,Domestic,4000
01-Oct-21,Camping,International,250
01-Nov-21,Hotel,Domestic,3500
01-Dec-21,Holiday Park,Domestic,22000
01-Jan-22,Camping,Domestic,3000
01-Feb-22,Hotel,International,100
01-Mar-22,Holiday Park,Domestic,14000
01-Apr-22,Camping,Domestic,16000
01-May-22,Hotel,Domestic,25000
01-Jun-22,Holiday Park,International,500
01-Jul-22,Camping,Domestic,21000
01-Aug-22,Hotel,International,300
