Period,Accomodation type,Travel,Tourists
01-Apr-15,Hotel,International,1126000
01-May-15,Hotel,International,1130000
01-Jun-15,Hotel,International,1078000
01-Jul-15,Hotel,International,1216000
01-Aug-15,Hotel,International,1225000
01-Sep-15,Hotel,International,1071000
01-Oct-15,Hotel,International,1034000
01-Nov-15,Hotel,International,886000
01-Dec-15,Hotel,International,754000
01-Jan-16,Hotel,International,755000
01-Feb-16,Hotel,International,828000
01-Mar-16,Hotel,International,1009000
01-Apr-16,Hotel,International,1126000
01-May-16,Hotel,International,1208000
01-Jun-16,Hotel,International,1086000
01-Jul-16,Hotel,International,1215000
01-Aug-16,Hotel,International,1232000
01-Sep-16,Hotel,International,1101000
01-Oct-16,Hotel,International,1096000
01-Nov-16,Hotel,International,920000
01-Dec-16,Hotel,International,833000
01-Jan-17,Hotel,International,819000
01-Feb-17,Hotel,International,872000
01-Mar-17,Hotel,International,1085000
01-Apr-17,Hotel,International,1392000
01-May-17,Hotel,International,1340000
01-Jun-17,Hotel,International,1317000
01-Jul-17,Hotel,International,1427000
01-Aug-17,Hotel,International,1385000
01-Sep-17,Hotel,International,1237000
01-Oct-17,Hotel,International,1261000
01-Nov-17,Hotel,International,1044000
01-Dec-17,Hotel,International,973000
01-Jan-18,Hotel,International,920000
01-Feb-18,Hotel,International,940000
01-Mar-18,Hotel,International,1161000
01-Apr-18,Hotel,International,1384000
01-May-18,Hotel,International,1393000
01-Jun-18,Hotel,International,1310000
01-Jul-18,Hotel,International,1477000
01-Aug-18,Hotel,International,1471000
01-Sep-18,Hotel,International,1293000
01-Oct-18,Hotel,International,1283000
01-Nov-18,Hotel,International,1076000
01-Dec-18,Hotel,International,965000
01-Jan-19,Hotel,International,943000
01-Feb-19,Hotel,International,1015000
01-Mar-19,Hotel,International,1250000
01-Apr-19,Hotel,International,1538000
01-May-19,Hotel,International,1410000
01-Jun-19,Hotel,International,1442000
01-Jul-19,Hotel,International,1530000
01-Aug-19,Hotel,International,1504000
01-Sep-19,Hotel,International,1308000
01-Oct-19,Hotel,International,1360000
01-Nov-19,Hotel,International,1163000
01-Dec-19,Hotel,International,1048000
01-Jan-20,Hotel,International,956000
01-Feb-20,Hotel,International,990000
01-Mar-20,Hotel,International,418000
01-Apr-20,Hotel,International,49000
01-May-20,Hotel,International,84000
01-Jun-20,Hotel,International,320000
01-Jul-20,Hotel,International,718000
01-Aug-20,Hotel,International,731000
01-Sep-20,Hotel,International,434000
01-Oct-20,Hotel,International,175000
01-Nov-20,Hotel,International,119000
01-Dec-20,Hotel,International,107000
01-Jan-21,Hotel,International,97000
01-Feb-21,Hotel,International,90000
01-Mar-21,Hotel,International,106000
01-Apr-21,Hotel,International,110000
01-May-21,Hotel,International,207000
01-Jun-21,Hotel,International,301000
01-Jul-21,Hotel,International,551000
01-Jan-12,Camping,Domestic,7000
01-Jan-12,Camping,International,5000
01-Feb-12,Camping,Domestic,7000
01-Feb-12,Camping,International,4000
01-Mar-12,Camping,Domestic,31000
01-Mar-12,Camping,International,11000
01-Apr-12,Camping,Domestic,223000
01-Apr-12,Camping,International,89000
01-May-12,Camping,Domestic,616000
01-May-12,Camping,International,114000
